model_id,context_limit,output_limit,name,description
deepseek/deepseek-v3.1-terminus:exacto,131072,65536,DeepSeek: DeepSeek V3.1 Terminus (exacto),DeepSeek-V3.1 Terminus is an update to [DeepSeek V3.1](/deepseek/deepseek-chat-v3.1) that maintains 
x-ai/grok-4-fast,2000000,30000,xAI: Grok 4 Fast,Grok 4 Fast is xAI's latest multimodal model with SOTA cost-efficiency and a 2M token context window
alibaba/tongyi-deepresearch-30b-a3b:free,131072,131072,Tongyi DeepResearch 30B A3B (free),"Tongyi DeepResearch is an agentic large language model developed by Tongyi Lab, with 30 billion tota"
alibaba/tongyi-deepresearch-30b-a3b,131072,131072,Tongyi DeepResearch 30B A3B,"Tongyi DeepResearch is an agentic large language model developed by Tongyi Lab, with 30 billion tota"
qwen/qwen3-coder-flash,128000,65536,Qwen: Qwen3 Coder Flash,Qwen3 Coder Flash is Alibaba's fast and cost efficient version of their proprietary Qwen3 Coder Plus
arcee-ai/afm-4.5b,65536,,Arcee AI: AFM 4.5B,AFM-4.5B is a 4.5 billion parameter instruction-tuned language model developed by Arcee AI. The mode
opengvlab/internvl3-78b,32768,32768,OpenGVLab: InternVL3 78B,The InternVL3 series is an advanced multimodal large language model (MLLM). Compared to InternVL 2.5
qwen/qwen3-next-80b-a3b-thinking,262144,262144,Qwen: Qwen3 Next 80B A3B Thinking,Qwen3-Next-80B-A3B-Thinking is a reasoning-first chat model in the Qwen3-Next line that outputs stru
qwen/qwen3-next-80b-a3b-instruct,262144,262144,Qwen: Qwen3 Next 80B A3B Instruct,Qwen3-Next-80B-A3B-Instruct is an instruction-tuned chat model in the Qwen3-Next series optimized fo
meituan/longcat-flash-chat:free,131072,131072,Meituan: LongCat Flash Chat (free),"LongCat-Flash-Chat is a large-scale Mixture-of-Experts (MoE) model with 560B total parameters, of wh"
meituan/longcat-flash-chat,131072,131072,Meituan: LongCat Flash Chat,"LongCat-Flash-Chat is a large-scale Mixture-of-Experts (MoE) model with 560B total parameters, of wh"
qwen/qwen-plus-2025-07-28,1000000,32768,Qwen: Qwen Plus 0728,"Qwen Plus 0728, based on the Qwen3 foundation model, is a 1 million context hybrid reasoning model w"
qwen/qwen-plus-2025-07-28:thinking,1000000,32768,Qwen: Qwen Plus 0728 (thinking),"Qwen Plus 0728, based on the Qwen3 foundation model, is a 1 million context hybrid reasoning model w"
nvidia/nemotron-nano-9b-v2:free,128000,,NVIDIA: Nemotron Nano 9B V2 (free),"NVIDIA-Nemotron-Nano-9B-v2 is a large language model (LLM) trained from scratch by NVIDIA, and desig"
nvidia/nemotron-nano-9b-v2,131072,,NVIDIA: Nemotron Nano 9B V2,"NVIDIA-Nemotron-Nano-9B-v2 is a large language model (LLM) trained from scratch by NVIDIA, and desig"
moonshotai/kimi-k2-0905,262144,262144,MoonshotAI: Kimi K2 0905,Kimi K2 0905 is the September update of [Kimi K2 0711](moonshotai/kimi-k2). It is a large-scale Mixt
moonshotai/kimi-k2-0905:exacto,262144,,MoonshotAI: Kimi K2 0905 (exacto),Kimi K2 0905 is the September update of [Kimi K2 0711](moonshotai/kimi-k2). It is a large-scale Mixt
deepcogito/cogito-v2-preview-llama-70b,32768,,Deep Cogito: Cogito V2 Preview Llama 70B,Cogito v2 70B is a dense hybrid reasoning model that combines direct answering capabilities with adv
deepcogito/cogito-v2-preview-llama-109b-moe,32767,,Cogito V2 Preview Llama 109B,"An instruction-tuned, hybrid-reasoning Mixture-of-Experts model built on Llama-4-Scout-17B-16E. Cogi"
deepcogito/cogito-v2-preview-deepseek-671b,163840,,Deep Cogito: Cogito V2 Preview Deepseek 671B,"Cogito v2 is a multilingual, instruction-tuned Mixture of Experts (MoE) large language model with 67"
stepfun-ai/step3,65536,65536,StepFun: Step3,Step3 is a cutting-edge multimodal reasoning model—built on a Mixture-of-Experts architecture with 3
qwen/qwen3-30b-a3b-thinking-2507,262144,131072,Qwen: Qwen3 30B A3B Thinking 2507,Qwen3-30B-A3B-Thinking-2507 is a 30B parameter Mixture-of-Experts reasoning model optimized for comp
x-ai/grok-code-fast-1,256000,10000,xAI: Grok Code Fast 1,Grok Code Fast 1 is a speedy and economical reasoning model that excels at agentic coding. With reas
nousresearch/hermes-4-70b,131072,131072,Nous: Hermes 4 70B,"Hermes 4 70B is a hybrid reasoning model from Nous Research, built on Meta-Llama-3.1-70B. It introdu"
nousresearch/hermes-4-405b,131072,131072,Nous: Hermes 4 405B,Hermes 4 is a large-scale reasoning model built on Meta-Llama-3.1-405B and released by Nous Research
google/gemini-2.5-flash-image-preview,32768,32768,Google: Gemini 2.5 Flash Image Preview (Nano Banana),"Gemini 2.5 Flash Image Preview, a.k.a. ""Nano Banana,"" is a state of the art image generation model w"
deepseek/deepseek-chat-v3.1:free,163800,,DeepSeek: DeepSeek V3.1 (free),"DeepSeek-V3.1 is a large hybrid reasoning model (671B parameters, 37B active) that supports both thi"
deepseek/deepseek-chat-v3.1,163840,163840,DeepSeek: DeepSeek V3.1,"DeepSeek-V3.1 is a large hybrid reasoning model (671B parameters, 37B active) that supports both thi"
openai/gpt-4o-audio-preview,128000,16384,OpenAI: GPT-4o Audio,The gpt-4o-audio-preview model adds support for audio inputs as prompts. This enhancement allows the
mistralai/mistral-medium-3.1,131072,,Mistral: Mistral Medium 3.1,"Mistral Medium 3.1 is an updated version of Mistral Medium 3, which is a high-performance enterprise"
baidu/ernie-4.5-21b-a3b,120000,8000,Baidu: ERNIE 4.5 21B A3B,A sophisticated text-based Mixture-of-Experts (MoE) model featuring 21B total parameters with 3B act
baidu/ernie-4.5-vl-28b-a3b,30000,8000,Baidu: ERNIE 4.5 VL 28B A3B,A powerful multimodal Mixture-of-Experts chat model featuring 28B total parameters with 3B activated
z-ai/glm-4.5v,65536,16384,Z.AI: GLM 4.5V,GLM-4.5V is a vision-language foundation model for multimodal agent applications. Built on a Mixture
ai21/jamba-mini-1.7,256000,4096,AI21: Jamba Mini 1.7,"Jamba Mini 1.7 is a compact and efficient member of the Jamba open model family, incorporating key i"
ai21/jamba-large-1.7,256000,4096,AI21: Jamba Large 1.7,"Jamba Large 1.7 is the latest model in the Jamba open family, offering improvements in grounding, in"
openai/gpt-5-chat,128000,16384,OpenAI: GPT-5 Chat,"GPT-5 Chat is designed for advanced, natural, multimodal, and context-aware conversations for enterp"
openai/gpt-5,400000,128000,OpenAI: GPT-5,"GPT-5 is OpenAI’s most advanced model, offering major improvements in reasoning, code quality, and u"
openai/gpt-5-mini,400000,128000,OpenAI: GPT-5 Mini,"GPT-5 Mini is a compact version of GPT-5, designed to handle lighter-weight reasoning tasks. It prov"
openai/gpt-5-nano,400000,128000,OpenAI: GPT-5 Nano,"GPT-5-Nano is the smallest and fastest variant in the GPT-5 system, optimized for developer tools, r"
openai/gpt-oss-120b,131072,131072,OpenAI: gpt-oss-120b,"gpt-oss-120b is an open-weight, 117B-parameter Mixture-of-Experts (MoE) language model from OpenAI d"
openai/gpt-oss-120b:exacto,131072,,OpenAI: gpt-oss-120b (exacto),"gpt-oss-120b is an open-weight, 117B-parameter Mixture-of-Experts (MoE) language model from OpenAI d"
openai/gpt-oss-20b:free,131072,131072,OpenAI: gpt-oss-20b (free),gpt-oss-20b is an open-weight 21B parameter model released by OpenAI under the Apache 2.0 license. I
openai/gpt-oss-20b,131072,,OpenAI: gpt-oss-20b,gpt-oss-20b is an open-weight 21B parameter model released by OpenAI under the Apache 2.0 license. I
anthropic/claude-opus-4.1,200000,32000,Anthropic: Claude Opus 4.1,"Claude Opus 4.1 is an updated version of Anthropic’s flagship model, offering improved performance i"
mistralai/codestral-2508,256000,,Mistral: Codestral 2508,Mistral's cutting-edge language model for coding released end of July 2025. Codestral specializes in
qwen/qwen3-coder-30b-a3b-instruct,262144,262144,Qwen: Qwen3 Coder 30B A3B Instruct,Qwen3-Coder-30B-A3B-Instruct is a 30.5B parameter Mixture-of-Experts (MoE) model with 128 experts (8
qwen/qwen3-30b-a3b-instruct-2507,262144,262144,Qwen: Qwen3 30B A3B Instruct 2507,"Qwen3-30B-A3B-Instruct-2507 is a 30.5B-parameter mixture-of-experts language model from Qwen, with 3"
z-ai/glm-4.5,131072,131072,Z.AI: GLM 4.5,"GLM-4.5 is our latest flagship foundation model, purpose-built for agent-based applications. It leve"
z-ai/glm-4.5-air:free,131072,131072,Z.AI: GLM 4.5 Air (free),"GLM-4.5-Air is the lightweight variant of our latest flagship model family, also purpose-built for a"
z-ai/glm-4.5-air,131072,98304,Z.AI: GLM 4.5 Air,"GLM-4.5-Air is the lightweight variant of our latest flagship model family, also purpose-built for a"
qwen/qwen3-235b-a22b-thinking-2507,262144,262144,Qwen: Qwen3 235B A22B Thinking 2507,"Qwen3-235B-A22B-Thinking-2507 is a high-performance, open-weight Mixture-of-Experts (MoE) language m"
z-ai/glm-4-32b,128000,,Z.AI: GLM 4 32B ,"GLM 4 32B is a cost-effective foundation language model.

It can efficiently perform complex tasks a"
qwen/qwen3-coder:free,262000,262000,Qwen: Qwen3 Coder 480B A35B (free),Qwen3-Coder-480B-A35B-Instruct is a Mixture-of-Experts (MoE) code generation model developed by the 
qwen/qwen3-coder,262144,262144,Qwen: Qwen3 Coder 480B A35B,Qwen3-Coder-480B-A35B-Instruct is a Mixture-of-Experts (MoE) code generation model developed by the 
qwen/qwen3-coder:exacto,262144,262144,Qwen: Qwen3 Coder 480B A35B (exacto),Qwen3-Coder-480B-A35B-Instruct is a Mixture-of-Experts (MoE) code generation model developed by the 
bytedance/ui-tars-1.5-7b,128000,2048,ByteDance: UI-TARS 7B ,"UI-TARS-1.5 is a multimodal vision-language agent optimized for GUI-based environments, including de"
google/gemini-2.5-flash-lite,1048576,65535,Google: Gemini 2.5 Flash Lite,"Gemini 2.5 Flash-Lite is a lightweight reasoning model in the Gemini 2.5 family, optimized for ultra"
qwen/qwen3-235b-a22b-2507,262144,262144,Qwen: Qwen3 235B A22B Instruct 2507,"Qwen3-235B-A22B-Instruct-2507 is a multilingual, instruction-tuned mixture-of-experts language model"
switchpoint/router,131072,,Switchpoint Router,Switchpoint AI's router instantly analyzes your request and directs it to the optimal AI from an eve
moonshotai/kimi-k2:free,32768,,MoonshotAI: Kimi K2 0711 (free),"Kimi K2 Instruct is a large-scale Mixture-of-Experts (MoE) language model developed by Moonshot AI, "
moonshotai/kimi-k2,131072,,MoonshotAI: Kimi K2 0711,"Kimi K2 Instruct is a large-scale Mixture-of-Experts (MoE) language model developed by Moonshot AI, "
thudm/glm-4.1v-9b-thinking,65536,8000,THUDM: GLM 4.1V 9B Thinking,"GLM-4.1V-9B-Thinking is a 9B parameter vision-language model developed by THUDM, based on the GLM-4-"
mistralai/devstral-medium,131072,,Mistral: Devstral Medium,Devstral Medium is a high-performance code generation and agentic reasoning model developed jointly 
mistralai/devstral-small,128000,,Mistral: Devstral Small 1.1,"Devstral Small 1.1 is a 24B parameter open-weight language model for software engineering agents, de"
cognitivecomputations/dolphin-mistral-24b-venice-edition:free,32768,,Venice: Uncensored (free),Venice Uncensored Dolphin Mistral 24B Venice Edition is a fine-tuned variant of Mistral-Small-24B-In
x-ai/grok-4,256000,,xAI: Grok 4,Grok 4 is xAI's latest reasoning model with a 256k context window. It supports parallel tool calling
google/gemma-3n-e2b-it:free,8192,2048,Google: Gemma 3n 2B (free),"Gemma 3n E2B IT is a multimodal, instruction-tuned model developed by Google DeepMind, designed to o"
tencent/hunyuan-a13b-instruct,131072,131072,Tencent: Hunyuan A13B Instruct,"Hunyuan-A13B is a 13B active parameter Mixture-of-Experts (MoE) language model developed by Tencent,"
tngtech/deepseek-r1t2-chimera:free,163840,,TNG: DeepSeek R1T2 Chimera (free),DeepSeek-TNG-R1T2-Chimera is the second-generation Chimera model from TNG Tech. It is a 671 B-parame
tngtech/deepseek-r1t2-chimera,163840,163840,TNG: DeepSeek R1T2 Chimera,DeepSeek-TNG-R1T2-Chimera is the second-generation Chimera model from TNG Tech. It is a 671 B-parame
morph/morph-v3-large,262144,131072,Morph: Morph V3 Large,"Morph's high-accuracy apply model for complex code edits. ~4,500 tokens/sec with 98% accuracy for pr"
morph/morph-v3-fast,81920,38000,Morph: Morph V3 Fast,"Morph's fastest apply model for code edits. ~10,500 tokens/sec with 96% accuracy for rapid code tran"
baidu/ernie-4.5-vl-424b-a47b,123000,16000,Baidu: ERNIE 4.5 VL 424B A47B ,"ERNIE-4.5-VL-424B-A47B is a multimodal Mixture-of-Experts (MoE) model from Baidu’s ERNIE 4.5 series,"
baidu/ernie-4.5-300b-a47b,123000,12000,Baidu: ERNIE 4.5 300B A47B ,ERNIE-4.5-300B-A47B is a 300B parameter Mixture-of-Experts (MoE) language model developed by Baidu a
thedrummer/anubis-70b-v1.1,131072,131072,TheDrummer: Anubis 70B V1.1,"TheDrummer's Anubis v1.1 is an unaligned, creative Llama 3.3 70B model focused on providing characte"
inception/mercury,128000,16384,Inception: Mercury,Mercury is the first diffusion large language model (dLLM). Applying a breakthrough discrete diffusi
mistralai/mistral-small-3.2-24b-instruct:free,131072,,Mistral: Mistral Small 3.2 24B (free),Mistral-Small-3.2-24B-Instruct-2506 is an updated 24B parameter model from Mistral optimized for ins
mistralai/mistral-small-3.2-24b-instruct,131072,131072,Mistral: Mistral Small 3.2 24B,Mistral-Small-3.2-24B-Instruct-2506 is an updated 24B parameter model from Mistral optimized for ins
minimax/minimax-m1,1000000,40000,MiniMax: MiniMax M1,"MiniMax-M1 is a large-scale, open-weight reasoning model designed for extended context and high-effi"
google/gemini-2.5-flash-lite-preview-06-17,1048576,65535,Google: Gemini 2.5 Flash Lite Preview 06-17,"Gemini 2.5 Flash-Lite is a lightweight reasoning model in the Gemini 2.5 family, optimized for ultra"
google/gemini-2.5-flash,1048576,65535,Google: Gemini 2.5 Flash,"Gemini 2.5 Flash is Google's state-of-the-art workhorse model, specifically designed for advanced re"
google/gemini-2.5-pro,1048576,65536,Google: Gemini 2.5 Pro,"Gemini 2.5 Pro is Google’s state-of-the-art AI model designed for advanced reasoning, coding, mathem"
moonshotai/kimi-dev-72b,131072,131072,MoonshotAI: Kimi Dev 72B,Kimi-Dev-72B is an open-source large language model fine-tuned for software engineering and issue re
openai/o3-pro,200000,100000,OpenAI: o3 Pro,The o-series of models are trained with reinforcement learning to think before they answer and perfo
x-ai/grok-3-mini,131072,,xAI: Grok 3 Mini,"A lightweight model that thinks before responding. Fast, smart, and great for logic-based tasks that"
x-ai/grok-3,131072,,xAI: Grok 3,Grok 3 is the latest model from xAI. It's their flagship model that excels at enterprise use cases l
mistralai/magistral-small-2506,40000,40000,Mistral: Magistral Small 2506,"Magistral Small is a 24B parameter instruction-tuned model based on Mistral-Small-3.1 (2503), enhanc"
mistralai/magistral-medium-2506:thinking,40960,40000,Mistral: Magistral Medium 2506 (thinking),Magistral is Mistral's first reasoning model. It is ideal for general purpose use requiring longer t
mistralai/magistral-medium-2506,40960,40000,Mistral: Magistral Medium 2506,Magistral is Mistral's first reasoning model. It is ideal for general purpose use requiring longer t
google/gemini-2.5-pro-preview,1048576,65536,Google: Gemini 2.5 Pro Preview 06-05,"Gemini 2.5 Pro is Google’s state-of-the-art AI model designed for advanced reasoning, coding, mathem"
deepseek/deepseek-r1-0528-qwen3-8b:free,131072,,DeepSeek: DeepSeek R1 0528 Qwen3 8B (free),DeepSeek-R1-0528 is a lightly upgraded release of DeepSeek R1 that taps more compute and smarter pos
deepseek/deepseek-r1-0528-qwen3-8b,32768,32768,DeepSeek: DeepSeek R1 0528 Qwen3 8B,DeepSeek-R1-0528 is a lightly upgraded release of DeepSeek R1 that taps more compute and smarter pos
deepseek/deepseek-r1-0528:free,163840,,DeepSeek: R1 0528 (free),May 28th update to the [original DeepSeek R1](/deepseek/deepseek-r1) Performance on par with [OpenAI
deepseek/deepseek-r1-0528,163840,163840,DeepSeek: R1 0528,May 28th update to the [original DeepSeek R1](/deepseek/deepseek-r1) Performance on par with [OpenAI
anthropic/claude-opus-4,200000,32000,Anthropic: Claude Opus 4,"Claude Opus 4 is benchmarked as the world’s best coding model, at time of release, bringing sustaine"
anthropic/claude-sonnet-4,1000000,64000,Anthropic: Claude Sonnet 4,"Claude Sonnet 4 significantly enhances the capabilities of its predecessor, Sonnet 3.7, excelling in"
mistralai/devstral-small-2505,128000,,Mistral: Devstral Small 2505,"Devstral-Small-2505 is a 24B parameter agentic LLM fine-tuned from Mistral-Small-3.1, jointly develo"
google/gemma-3n-e4b-it:free,8192,2048,Google: Gemma 3n 4B (free),"Gemma 3n E4B-it is optimized for efficient execution on mobile and low-resource devices, such as pho"
google/gemma-3n-e4b-it,32768,,Google: Gemma 3n 4B,"Gemma 3n E4B-it is optimized for efficient execution on mobile and low-resource devices, such as pho"
openai/codex-mini,200000,100000,OpenAI: Codex Mini,codex-mini-latest is a fine-tuned version of o4-mini specifically for use in Codex CLI. For direct u
nousresearch/deephermes-3-mistral-24b-preview,32768,32768,Nous: DeepHermes 3 Mistral 24B Preview,DeepHermes 3 (Mistral 24B Preview) is an instruction-tuned language model by Nous Research based on 
mistralai/mistral-medium-3,131072,,Mistral: Mistral Medium 3,Mistral Medium 3 is a high-performance enterprise-grade language model designed to deliver frontier-
google/gemini-2.5-pro-preview-05-06,1048576,65535,Google: Gemini 2.5 Pro Preview 05-06,"Gemini 2.5 Pro is Google’s state-of-the-art AI model designed for advanced reasoning, coding, mathem"
arcee-ai/spotlight,131072,65537,Arcee AI: Spotlight,Spotlight is a 7‑billion‑parameter vision‑language model derived from Qwen 2.5‑VL and fine‑tuned by 
arcee-ai/maestro-reasoning,131072,32000,Arcee AI: Maestro Reasoning,Maestro Reasoning is Arcee's flagship analysis model: a 32 B‑parameter derivative of Qwen 2.5‑32 B t
arcee-ai/virtuoso-large,131072,64000,Arcee AI: Virtuoso Large,"Virtuoso‑Large is Arcee's top‑tier general‑purpose LLM at 72 B parameters, tuned to tackle cross‑dom"
arcee-ai/coder-large,32768,,Arcee AI: Coder Large,Coder‑Large is a 32 B‑parameter offspring of Qwen 2.5‑Instruct that has been further trained on perm
microsoft/phi-4-reasoning-plus,32768,,Microsoft: Phi 4 Reasoning Plus,"Phi-4-reasoning-plus is an enhanced 14B parameter model from Microsoft, fine-tuned from Phi-4 with a"
inception/mercury-coder,128000,16384,Inception: Mercury Coder,Mercury Coder is the first diffusion large language model (dLLM). Applying a breakthrough discrete d
qwen/qwen3-4b:free,40960,,Qwen: Qwen3 4B (free),"Qwen3-4B is a 4 billion parameter dense language model from the Qwen3 series, designed to support bo"
deepseek/deepseek-prover-v2,163840,,DeepSeek: DeepSeek Prover V2,"DeepSeek Prover V2 is a 671B parameter model, speculated to be geared towards logic and mathematics."
meta-llama/llama-guard-4-12b,163840,,Meta: Llama Guard 4 12B,"Llama Guard 4 is a Llama 4 Scout-derived multimodal pretrained model, fine-tuned for content safety "
qwen/qwen3-30b-a3b:free,40960,,Qwen: Qwen3 30B A3B (free),"Qwen3, the latest generation in the Qwen large language model series, features both dense and mixtur"
qwen/qwen3-30b-a3b,40960,40960,Qwen: Qwen3 30B A3B,"Qwen3, the latest generation in the Qwen large language model series, features both dense and mixtur"
qwen/qwen3-8b,128000,20000,Qwen: Qwen3 8B,"Qwen3-8B is a dense 8.2B parameter causal language model from the Qwen3 series, designed for both re"
qwen/qwen3-14b:free,40960,,Qwen: Qwen3 14B (free),"Qwen3-14B is a dense 14.8B parameter causal language model from the Qwen3 series, designed for both "
qwen/qwen3-14b,40960,40960,Qwen: Qwen3 14B,"Qwen3-14B is a dense 14.8B parameter causal language model from the Qwen3 series, designed for both "
